id,nome,latitudine,longitudine,tipo,peso
234,Etolia,38.5594440,21.6680560,3,0.0050
235,Acarnania,38.3833330,21.4333330,3,0.0017
236,Anfilochia,38.8940120,21.3453930,3,0.0008
243,Mauri,35.7666670,-5.8000000,4,0.0025
244,Parti,33.0936110,44.5808330,4,0.0033
250,Ruteni,44.3333330,2.5666670,4,0.0008
275,Marsi,42.0076000,13.6238100,4,0.0033
276,Peligni,42.1173900,13.8352490,4,0.0033
277,Marrucini,42.3511140,14.1674280,4,0.0017
279,Frentani,42.2312110,14.3904720,4,0.0008
281,Britanni,51.5125000,-0.0906000,4,0.0008
285,Macedoni,40.7546690,22.5210500,4,0.0100
290,Atamane,37.6306140,22.7214630,4,0.0008
292,Fenici,33.5614000,35.3750000,4,0.0017
302,Vettoni,40.1666000,-6.1010000,4,0.0025
303,Celtiberi,41.8095860,-2.4442580,4,0.0025
310,Liburni,44.5500000,14.8833330,4,0.0017
318,Bessi,42.6180560,25.3055560,4,0.0008
320,Cantabri,43.4000000,-4.4000000,4,0.0008
327,Germani,51.0492580,13.7383610,4,0.0042
328,Galati,39.9117000,32.8403000,4,0.0017
332,Larinati,38.8940120,21.3453930,4,0.0008
333,Albici,44.0500000,5.0500000,4,0.0059
334,Volci Arecomici,43.8333330,4.3500000,4,0.0008
335,Elvi,44.5555560,4.5988890,4,0.0008
336,Salli,44.5666670,6.0833330,4,0.0008
337,Aquitani,44.8386110,-0.5783340,4,0.0008
338,Iacetani,42.5667000,-0.5500000,4,0.0008
339,Illurgavonensi,41.3667000,0.3000000,4,0.0025
340,Gaditani,36.5333330,-6.2833330,4,0.0008
341,Dardani,42.6000000,21.1666670,4,0.0008
342,Partini,41.0458330,19.7500000,4,0.0033
343,Labeati,42.0666670,19.5000000,4,0.0008
344,Allobrogi,45.5166670,4.8666670,4,0.0067
351,Rodano,45.7669440,4.8341670,5,0.0017
353,Varo,43.9381000,7.0978000,5,0.0033
355,Cinga,41.4283810,0.3497260,5,0.0008
397,Sicori,41.6166670,0.6333330,5,0.0217
398,Ebro,41.6570000,-0.8760000,5,0.0092
399,Bagrada,37.0565280,10.0622580,5,0.0033
401,Genuso,41.0458330,19.7500000,5,0.0025
402,Apso,40.8236110,19.3666670,5,0.0050
407,Enipeo,39.6333330,22.4166670,5,0.0025
417,Sagittario,42.1708330,13.8316670,5,0.0008
418,Anas,38.8830560,-6.9666670,5,0.0017
419,Aliacmone,40.0833330,21.4166670,5,0.0033
426,Ossa,39.7833330,22.6833330,6,0.0059
435,Pirenei,42.5596880,1.8105540,6,0.0033
438,Cerauni,40.1986110,19.5916670,6,0.0008
443,Amano,37.3200000,34.7919440,6,0.0008
453,Valico Castulo,38.0359000,-3.6235000,6,0.0008
460,Sicilia,37.0833330,15.2833330,7,0.0151
461,Corcira,39.6238890,19.9213890,7,0.0059
462,Sasona,40.4936110,19.2805560,7,0.0008
463,Sardegna,39.2166670,9.1166670,7,0.0033
464,Creta,35.2979610,25.1631560,7,0.0025
465,Cipro,35.1833330,33.9000000,7,0.0017
469,Rodi,36.4333330,28.2166670,7,0.0050
481,Giglio,42.3655560,10.9016670,7,0.0008
482,Cicladi,37.3933330,25.2711110,7,0.0008
483,Curitta ,45.0666670,14.6000000,7,0.0017
489,Atlantico,36.1316670,-5.3516670,8,0.0008
490,Adriatico,40.6383330,17.9458330,8,0.0025
501,Campidoglio,41.8933330,12.4830560,1,0.0008
508,Stretto di Messina,38.1833330,15.5500000,1,0.0017
512,Istmo Corinto,37.9333330,22.9333330,1,0.0008
532,Agro Irpino,41.1333330,14.7833330,1,0.0008
541,Candavia,41.1166670,20.8000000,1,0.0017
542,Piana di Vic,41.9311110,2.2558330,1,0.0017
543,Sant Jeroni,41.6052780,1.8113890,6,0.0075
544,Palamno,41.3241670,19.4558330,5,0.0033
547,Anfipoli,40.8166670,23.8500000,2,0.0017
