id,nome,latitudine,longitudine,tipo,peso
180,Matino,40.0333330,18.1333330,2,0.0005
181,Munda,37.5865910,-4.6386200,2,0.0016
182,Sesto,40.2166670,26.3833330,2,0.0011
183,Abido,40.1952780,26.4050000,2,0.0011
184,Apono,45.3619000,11.7924000,2,0.0005
185,Ilerda,41.6166670,0.6333330,2,0.0021
186,Corinto,37.9333330,22.9333330,2,0.0005
187,Tessaglia,39.6333330,22.4166670,3,0.0478
188,Scizia,46.5257000,32.2520000,3,0.0112
189,Italia,41.8922000,12.4852000,3,0.0351
190,Frigia,39.9575000,26.2388890,3,0.0043
191,Libia,32.6391670,14.2905560,3,0.0388
192,Gallia,47.0844000,2.3964000,3,0.0117
193,Lazio,41.8922000,12.4852000,3,0.0207
195,Cilicia,36.9166670,34.9000000,3,0.0085
196,Ponto,42.0266670,35.1511110,3,0.0043
197,Tracia,42.6180560,25.3055560,3,0.0021
198,Egitto,27.7744390,30.8011110,3,0.0138
199,Numidia,36.3675000,6.6119440,3,0.0043
200,Grecia,37.9666670,23.7166670,3,0.0122
201,Umbria,43.0700000,12.6175000,3,0.0011
202,Apulia,41.2166670,16.0666670,3,0.0021
203,Armenia,39.9538890,44.5505560,3,0.0043
204,Epiro,40.3188890,19.4286110,3,0.0016
205,Asia,37.9397220,27.3486110,3,0.0011
206,Beozia,38.3230060,23.3204060,3,0.0005
207,Arcadia,37.4000000,22.1333330,3,0.0011
208,Caonia,39.9133330,20.0577780,3,0.0005
209,Colchide,42.1500000,41.6666670,3,0.0027
210,Bistonia,41.0400000,25.1100000,3,0.0021
211,Siria,36.2047220,36.1816670,3,0.0021
212,Persia,32.2000000,48.2500000,3,0.0037
213,Iberia,38.9000000,-6.3333000,3,0.0096
214,Illiria,42.0666670,19.5000000,3,0.0016
215,Africa,36.8580080,10.3309040,3,0.0048
216,Campania,41.0833330,14.2500000,3,0.0005
217,Dalmazia,44.1000000,15.2166670,3,0.0005
218,Calabria,40.3520110,18.1691390,3,0.0005
219,Caledonia,56.1166000,-3.9369000,3,0.0005
220,Pannoni,46.4186110,15.8713890,3,0.0011
221,Cappadocia,38.7333330,35.4833330,3,0.0021
222,Panfilia,36.5438890,31.9977780,3,0.0005
223,Acaia,38.2500000,21.7333330,3,0.0005
237,Misia,39.1166670,27.1833330,3,0.0005
238,Sofene,38.2405030,40.0827390,3,0.0005
239,Doride,16.9351390,33.7507500,3,0.0005
240,Seri,46.5257000,32.2520000,4,0.0016
241,Assiri,36.3666670,43.1500000,4,0.0053
242,Sabini,42.4044300,12.8567020,4,0.0016
243,Mauri,35.7666670,-5.8000000,4,0.0043
244,Parti,33.0936110,44.5808330,4,0.0138
245,Senoni,43.6255560,12.9844440,4,0.0005
246,Cimbri,56.8881670,9.8290730,4,0.0011
247,Teutoni,56.1563890,10.2097220,4,0.0016
248,Etruschi,42.8594440,10.9711110,4,0.0037
249,Lingoni,47.8666670,5.3333330,4,0.0005
250,Ruteni,44.3333330,2.5666670,4,0.0005
251,Nemeti,49.3194440,8.4311110,4,0.0005
252,Tarbelli,43.7166670,-1.0500000,4,0.0011
254,Biturigi,47.0844000,2.3964000,4,0.0005
255,Suessioni,49.3666670,3.3333330,4,0.0005
256,Leuci,48.6833330,5.9000000,4,0.0005
257,Remi,49.2500000,4.0333330,4,0.0005
258,Sequani,47.2500000,6.0333330,4,0.0005
259,Belgi,50.2833330,2.7833330,4,0.0005
260,Arverni,45.7833330,3.0833330,4,0.0005
261,Nervi,50.3000000,3.7833330,4,0.0005
262,Eburoni,50.7833330,5.4666670,4,0.0005
263,Sarmati,46.5257000,32.2520000,4,0.0027
264,Vangioni,49.6319440,8.3652780,4,0.0005
265,Batavi,51.8333300,5.8667000,4,0.0005
266,Treviri,49.7566670,6.6413890,4,0.0005
267,Liguri,44.4071860,8.9339830,4,0.0005
268,Caici,53.5500000,8.5833330,4,0.0005
269,Medi,34.8063890,48.5161110,4,0.0048
270,Massageti,39.5166670,54.3666670,4,0.0011
271,Svevi,51.0492580,13.7383610,4,0.0005
272,Daci,45.6227780,23.3102780,4,0.0016
273,Geti,45.6227780,23.3102780,4,0.0016
274,Sanniti,41.1333330,14.7833330,4,0.0005
275,Marsi,42.0076000,13.6238100,4,0.0016
278,Vestini,42.4500000,13.9166670,4,0.0005
280,Dahi,39.5166670,54.3666670,4,0.0011
281,Britanni,51.5125000,-0.0906000,4,0.0021
282,Arabi,12.8000000,45.0333330,4,0.0048
283,Eniochi,43.0000000,41.0166670,4,0.0011
284,Giudei,31.7833330,35.2166670,4,0.0005
285,Macedoni,40.7546690,22.5210500,4,0.0037
286,Sicani,37.5666670,14.2666670,4,0.0005
287,Tesproti,39.2469120,20.5279220,4,0.0005
288,Driopi,38.8286000,22.2886100,4,0.0005
289,Selloi,39.5463890,20.7877780,4,0.0005
290,Atamane,37.6306140,22.7214630,4,0.0005
291,Encheli,40.7216720,19.4726580,4,0.0005
292,Fenici,33.5614000,35.3750000,4,0.0005
293,Oresti,40.0833330,21.4166670,4,0.0005
294,Carmani,30.2833330,57.0666670,4,0.0005
295,Etiopi,14.1283970,38.7172570,4,0.0037
296,Moschi,41.6388890,42.9861110,4,0.0005
297,Essedoni,42.1500000,41.6666670,4,0.0005
298,Arimaspi,46.5257000,32.2520000,4,0.0011
299,Arii,34.3419440,62.2030560,4,0.0005
300,Geloni,47.2705560,39.3413890,4,0.0005
301,Asturi,42.4500000,-6.0500000,4,0.0011
302,Vettoni,40.1666000,-6.1010000,4,0.0005
303,Celtiberi,41.8095860,-2.4442580,4,0.0005
304,Nabatei,30.3288890,35.4402780,4,0.0005
305,Indi,29.3491670,71.0280560,4,0.0021
306,Veneti,45.4063890,11.8777780,4,0.0005
307,Garamanti,26.5333330,13.0666670,4,0.0027
308,Curicti,45.0666670,14.6000000,4,0.0005
309,Istriani,44.9166670,13.9697220,4,0.0005
310,Liburni,44.5500000,14.8833330,4,0.0011
311,Autololi,36.1316670,-5.3516670,4,0.0005
312,Getuli,33.5377780,10.6761110,4,0.0005
313,Nasamoni,30.4057000,19.5718000,4,0.0021
314,Marmaridi,32.0666670,23.9500000,4,0.0021
315,Masaci,35.7666670,-5.8000000,4,0.0005
316,Massili,36.3675000,6.6119440,4,0.0005
317,Afri,36.3675000,6.6119440,4,0.0005
318,Bessi,42.6180560,25.3055560,4,0.0005
319,Taulanti,41.3241670,19.4558330,4,0.0005
320,Cantabri,43.4000000,-4.4000000,4,0.0005
321,Bebrici,40.7625000,29.9175000,4,0.0005
322,Lelegi,37.9397220,27.3486110,4,0.0005
323,Eoli,38.9280560,26.9372220,4,0.0005
324,Dolopi,39.0664600,21.9837300,4,0.0005
325,Magneti,39.3129230,22.9307130,4,0.0005
326,Iturei,34.0061110,36.2086110,4,0.0005
327,Germani,51.0492580,13.7383610,4,0.0005
328,Galati,39.9117000,32.8403000,4,0.0005
329,Alani,47.2705560,39.3413890,4,0.0011
330,Sabei,15.4166670,45.3500000,4,0.0005
331,Psilli,32.1166670,20.0666670,4,0.0027
345,Arasse,39.2161110,45.4105560,5,0.0016
346,Nilo,27.7744390,30.8011110,5,0.0340
347,Rubicone,44.0880560,12.3933330,5,0.0027
349,Tevere,42.7788890,12.4141670,5,0.0037
350,Isara,45.1667000,5.7167000,5,0.0005
351,Rodano,45.7669440,4.8341670,5,0.0048
352,Atace,43.2166670,2.3499870,5,0.0005
353,Varo,43.9381000,7.0978000,5,0.0005
354,Aturio,43.7000000,-0.2666670,5,0.0005
355,Cinga,41.4283810,0.3497260,5,0.0011
356,Arari,46.7806000,4.8528000,4,0.0011
357,Nera,42.5619440,12.6413890,5,0.0005
358,Aniene,41.9597220,12.7980560,5,0.0005
359,Almone,41.8922000,12.4852000,5,0.0005
360,Trebbia,44.9525000,9.5866670,5,0.0005
361,Istro,44.8205560,20.4622220,5,0.0027
362,Elba,51.0492580,13.7383610,5,0.0005
363,Metauro,43.6889560,12.8061190,5,0.0005
364,Crustumio,43.8705000,12.4916000,5,0.0005
365,Savio,44.1388890,12.2444440,5,0.0005
366,Isauro,43.8212690,12.5721000,5,0.0005
367,Sena,43.7130560,13.2183330,5,0.0005
368,Ofanto,41.2166670,16.0666670,5,0.0005
369,Po,45.0477780,9.7005560,5,0.0037
370,Rutuba,43.7902780,7.6083330,5,0.0005
371,Volturno,41.1500000,14.4000000,5,0.0080
372,Sarno,40.7500000,14.5000000,5,0.0005
373,Liri,41.4000000,13.7666670,5,0.0005
374,Sele,40.6333330,15.2333330,5,0.0005
375,Magra,44.2166670,9.9666670,5,0.0005
376,Gange,30.9833330,78.9166670,5,0.0032
377,Fasi,42.2500000,42.7000000,5,0.0011
378,Beti,37.8833330,-4.7666670,5,0.0005
379,Eufrate,32.5417810,44.4316440,5,0.0043
380,Cefisio,38.4322220,23.2452780,5,0.0005
381,Dirce,38.3230060,23.3204060,5,0.0005
382,Alfeo,37.4000000,22.1333330,5,0.0005
383,Peneo,39.6333330,22.4166670,5,0.0027
384,Strimone ,40.8166670,23.8500000,5,0.0011
385,Caico,38.9280560,26.9372220,5,0.0005
387,Meandro,37.5400000,27.1688890,5,0.0011
388,Pattolo,38.2918000,28.0225000,5,0.0005
389,Ermo,38.2918000,28.0225000,5,0.0005
390,Oronte ,35.4180000,36.3980000,5,0.0011
391,Indo,29.3491670,71.0280560,5,0.0027
392,Idaspe,32.6594440,73.4052780,5,0.0011
393,Tigri,33.0936110,44.5808330,5,0.0037
394,Battro,36.7500000,66.9000000,5,0.0005
395,Alis,39.8500000,33.5000000,5,0.0005
396,Tanai,47.2705560,39.3413890,5,0.0021
397,Sicori,41.6166670,0.6333330,5,0.0021
398,Ebro,41.6570000,-0.8760000,5,0.0011
399,Bagrada,37.0565280,10.0622580,5,0.0005
400,Inaco,37.6306140,22.7214630,5,0.0011
401,Genuso,41.0458330,19.7500000,5,0.0011
402,Apso,40.8236110,19.3666670,5,0.0011
403,Spercheo,38.9000000,22.4333330,5,0.0005
404,Anfrisio,39.1441160,22.8144960,5,0.0005
405,Anauro,39.3666670,22.9333330,5,0.0005
406,Apidano,39.3000000,22.3833330,5,0.0005
407,Enipeo,39.6333330,22.4166670,5,0.0016
408,Asopo,38.9000000,22.4333330,5,0.0005
409,Fenice,38.9000000,22.4333330,5,0.0005
410,Melanto,38.9000000,22.4333330,5,0.0005
411,Titareso,39.6333330,22.4166670,5,0.0005
412,Timavo,45.8000000,13.5333330,5,0.0005
413,Allia,42.0175000,12.5200000,5,0.0005
414,Tago,39.9583330,-4.8327780,5,0.0005
415,Leton,33.7000000,8.4300000,5,0.0005
416,Cinifo,30.4350000,19.6669440,5,0.0005
420,Aea,40.3000000,20.0166670,5,0.0005
421,Acheloo,38.6666670,21.3166670,5,0.0005
422,Eveno,38.3833330,21.4333330,5,0.0005
423,Simoenta,39.9575000,26.2388890,5,0.0005
424,Etna,37.7510250,14.9940310,6,0.0032
425,Alpi,44.4500000,6.8500000,6,0.0064
426,Ossa,39.7833330,22.6833330,6,0.0027
427,Vosgi,47.9008330,7.0986110,6,0.0005
428,Cevenne,44.4261110,3.7391670,6,0.0005
429,Olimpo,40.0600000,22.3500000,6,0.0090
430,Atlante,36.1316670,-5.3516670,6,0.0016
431,Cillene,37.9397220,22.3969440,6,0.0021
432,Pindo,41.1166670,20.8000000,6,0.0027
433,Pangeo,40.9137400,24.0903570,6,0.0011
434,Emo,42.7174170,24.9171940,6,0.0096
435,Pirenei,42.5596880,1.8105540,6,0.0011
436,Appennini,42.4666670,13.5500000,6,0.0037
437,Tauri,37.3200000,34.7919440,6,0.0027
438,Cerauni,40.1986110,19.5916670,6,0.0005
439,Parnaso,38.5333330,22.6166670,6,0.0016
440,Menelao,37.4000000,22.1333330,6,0.0005
441,Oeta,38.8286000,22.2886100,6,0.0032
442,Ida,39.7000000,26.8333330,6,0.0005
443,Amano,37.3200000,34.7919440,6,0.0005
444,Nifate,39.3544440,43.8661110,6,0.0005
445,Taigeto,36.9538890,22.3522220,6,0.0005
446,Pelio,39.4330000,23.0500000,6,0.0016
447,Otri,39.0169440,22.7097220,6,0.0005
448,Rodopi,41.6011110,24.5741670,6,0.0011
449,Colli Euganei,45.3134280,11.6892990,6,0.0005
450,Mimante,42.6180560,25.3055560,6,0.0005
451,Vulture,40.9483670,15.6356480,6,0.0005
452,Gargano,41.7270700,15.7726100,6,0.0011
454,Marica,41.9150000,13.4280560,1,0.0005
455,Erice,38.0375000,12.5875000,6,0.0011
456,Gauro,40.8483460,14.1053550,6,0.0005
457,Athos,40.1572220,24.3263890,6,0.0005
458,Inarime,40.7333330,13.9500000,7,0.0005
459,Leucade,38.8338890,20.7086110,7,0.0027
460,Sicilia,37.0833330,15.2833330,7,0.0043
461,Corcira,39.6238890,19.9213890,7,0.0021
462,Sasona,40.4936110,19.2805560,7,0.0011
463,Sardegna,39.2166670,9.1166670,7,0.0005
464,Creta,35.2979610,25.1631560,7,0.0037
465,Cipro,35.1833330,33.9000000,7,0.0027
466,Peuce,45.0666670,28.7500000,7,0.0005
467,Stecadi,43.3308330,4.8455560,7,0.0005
468,Baleari,39.5666670,2.6500000,7,0.0011
469,Rodi,36.4333330,28.2166670,7,0.0016
470,Eubea,38.4625000,23.5950000,7,0.0021
471,Lesbo,39.1000000,26.5500000,7,0.0069
472,Nisida,40.7952780,14.1633330,7,0.0005
473,Echinadi,38.3690000,20.9950000,7,0.0005
474,Delo,37.3933330,25.2711110,7,0.0005
475,Chio,38.3833330,26.1166670,7,0.0005
476,Icaria,37.5833330,26.1666670,7,0.0005
477,Samo,37.7500000,26.9666670,7,0.0005
478,Cos,36.8938330,27.2870280,7,0.0005
479,Citera,36.2500000,23.0000000,7,0.0005
480,File,24.0208330,32.8894440,7,0.0011
484,Salamina,37.9333330,23.5000000,7,0.0011
485,Ionio,36.3850000,22.4827780,8,0.0043
486,Egeo,37.6505720,24.0245860,8,0.0016
487,Sirti,32.9022200,13.1858330,8,0.0133
488,Sirte,30.4350000,19.6669440,8,0.0005
489,Atlantico,36.1316670,-5.3516670,8,0.0101
490,Adriatico,40.6383330,17.9458330,8,0.0043
491,Nero,44.1666670,28.6333330,8,0.0021
492,Eusino,44.1666670,28.6333330,8,0.0005
493,Meotide,45.3508330,36.4686110,8,0.0021
494,Tirreno,42.1000000,11.8000000,8,0.0011
495,Rosso,27.8666000,34.2833330,8,0.0021
496,Caspio,40.3666560,49.8351830,8,0.0011
497,Indiano,30.0280000,47.9370000,8,0.0011
498,Propontide,40.6166670,27.6166670,8,0.0005
499,Campo di Marte,41.9084580,12.4770300,1,0.0032
500,Rupe Tarpea,41.8915560,12.4822160,1,0.0027
501,Campidoglio,41.8933330,12.4830560,1,0.0021
502,Foro,41.8922000,12.4852000,1,0.0016
503,vetta Laziare,41.8933330,12.4830560,1,0.0005
504,Teatro Pompeo,41.8952780,12.4736110,1,0.0011
505,Porta Collina,41.8333330,12.9000000,2,0.0005
506,Calpe,36.1316670,-5.3516670,1,0.0005
507,Colonne Ercole,36.1316670,-5.3516670,1,0.0011
508,Stretto di Messina,38.1833330,15.5500000,1,0.0011
509,Stretto Euripo,38.4625000,23.5950000,1,0.0011
510,Stretto Ellesponto,40.4170000,26.6670000,1,0.0016
511,Stretto Bosforo,41.0152780,28.9847220,1,0.0016
512,Istmo Corinto,37.9333330,22.9333330,1,0.0005
513,Lago Averno,40.8390000,14.0760000,9,0.0005
514,Lago Lemano,46.2000000,6.1500000,9,0.0005
515,Lago Tritonide,33.7000000,8.4300000,9,0.0011
516,Palude Bebeide,39.3841630,22.7377280,9,0.0005
517,Capo Peloro,38.2663500,15.6530850,10,0.0011
518,Capo Malea,36.4380560,23.1986110,10,0.0011
519,Capo Pachino,36.6850000,15.1400000,10,0.0005
520,Capo Tenaro,36.3850000,22.4827780,10,0.0011
521,Capo Palinuro,40.0249300,15.2678100,10,0.0005
522,Acrocerauni,40.4166700,19.3000000,10,0.0011
523,Promontorio Lacina,39.0252780,17.2022220,10,0.0005
524,Promontorio Circeo,41.2310900,13.0555300,10,0.0005
525,Promontorio Cnido,36.6858330,27.3750000,10,0.0005
526,Promontorio Casio,31.2116670,33.0777780,10,0.0021
527,Promontorio Ficunte,32.9191610,22.1535160,10,0.0005
528,Promontorio Sigeo,39.9900000,26.1805560,10,0.0005
529,Promontorio Reteo,40.0091670,26.3000000,10,0.0005
530,Golfo Malia,38.8583000,22.7056000,1,0.0005
531,Agro Pontino,41.2310900,13.0555300,1,0.0005
533,Valle Tempe,39.8770000,22.5660000,1,0.0016
534,Forche Caudine,41.1587890,14.5310020,1,0.0005
535,Anxur,41.2833330,13.2500000,1,0.0005
536,Lago (Egitto),31.2000000,29.9166670,3,0.0043
537,Minturno ,41.2231090,13.7623800,5,0.0005
538,Sacriporto,41.8333330,12.9000000,2,0.0005
539,Foloe,37.7833330,21.7166670,1,0.0021
540,Flegra,40.0229280,23.4334110,10,0.0005
541,Candavia,41.1166670,20.8000000,1,0.0005
545,Ramnunte,38.2233330,24.0272220,2,0.0005
547,Anfipoli,40.8166670,23.8500000,2,0.0005
548,Lago Mareotide,31.1530560,29.8986110,9,0.0016
